Year,Country,Organization,Winner,Runners-Up,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,CONMEBOL,Uruguay,Argentina,N/A,N/A,N/A,N/A
1934,Italy,UEFA,Italy,Czechoslovakia,70,16,17,363000
1938,France,UEFA,Italy,Hungary,84,15,18,375700
1950,Brazil,CONMEBOL,Uruguay,Brazil,88,13,22,1045246
1954,Switzerland,UEFA,Germany FR,Hungary,140,16,26,768607
1958,Sweden,UEFA,Brazil,Sweden,126,16,35,819810
1962,Chile,CONMEBOL,Brazil,Czechoslovakia,89,16,32,893172
1966,England,UEFA,England,Germany FR,89,16,32,1563135
1970,Mexico,CONCACAF,Brazil,Italy,95,16,32,1603975
1970,Mexico,CONCACAF,Brazil,Italy,,,,
1974,Germany,UEFA,Germany FR,Netherlands,97,16,38,1865753
1978,Argentina,CONMEBOL,Argentina,Netherlands,102,16,38,1545791
1982,Spain,UEFA,Italy,Germany FR,146,24,52,2109723
1986,Mexico,CONCACAF,Argentina,Germany FR,132,24,52,2394031
1990,Italy,UEFA,Germany FR,Argentina,115,24,52,2516215
1994,USA,CONCACAF,Brazil,Italy,141,24,52,3587538
1998,France,UEFA,France,Brazil,171,32,64,2785100
2002,Korea/Japan,AFC,Brazil,Germany,-161,-32,-64,-2705197
2006,Germany,UEFA,Italy,France,147,32,64,3359439
2010,South Africa,CAF,Spain,Netherlands,145,32,64,3178856
2014,Brazil,CONMEBOL,Germany,Argentina,-171,-32,-64,-3386810
2018,Russia,UEFA,,,,,,